date,n1,n2,n3,n4,n5,pb
5/11/24,3,6,39,49,67,21
5/8/24,7,41,43,44,51,5
5/6/24,7,23,24,56,60,25
5/4/24,14,20,23,53,69,4
5/1/24,1,11,19,21,68,15
4/29/24,11,38,47,67,69,14
4/27/24,9,30,53,55,62,23
4/24/24,2,20,22,26,47,21
4/22/24,12,16,33,39,52,1
4/20/24,4,35,41,44,58,25
4/17/24,24,29,44,47,54,2
4/15/24,7,16,41,56,61,23
4/13/24,7,33,40,43,69,10
4/10/24,6,7,12,24,36,15
4/8/24,6,21,23,39,54,23
4/6/24,22,27,44,52,69,9
4/3/24,11,38,41,62,65,15
4/1/24,19,24,40,42,56,23
3/30/24,12,13,33,50,52,23
3/27/24,37,46,57,60,66,8
3/25/24,7,11,19,53,68,23
3/23/24,6,23,25,34,51,3
3/20/24,13,22,27,54,66,9
3/18/24,10,17,20,39,44,16
3/16/24,12,23,44,57,61,5
3/13/24,21,29,54,59,62,4
3/11/24,1,3,7,16,66,5
3/9/24,30,36,49,52,63,16
3/6/24,6,19,28,44,60,10
3/4/24,36,42,50,52,67,26
3/2/24,3,18,27,36,53,12
2/28/24,16,26,29,38,50,6
2/26/24,24,29,42,51,54,16
2/24/24,3,8,40,53,58,3
2/21/24,4,27,33,41,42,14
2/19/24,4,23,45,50,53,17
2/17/24,6,28,59,62,69,21
2/14/24,1,4,45,47,67,18
2/12/24,17,36,43,53,67,14
2/10/24,27,28,34,37,44,8
2/7/24,12,21,62,67,69,17
2/5/24,1,2,27,30,67,9
2/3/24,9,11,27,59,66,19
1/31/24,15,18,19,41,43,14
1/29/24,39,41,43,49,64,4
1/27/24,7,38,65,66,68,21
1/24/24,1,5,32,50,64,8
1/22/24,24,25,43,52,63,21
1/20/24,16,31,34,47,65,10
1/17/24,18,22,43,61,65,2
1/15/24,13,30,35,49,59,4
1/13/24,13,31,33,51,58,15
1/10/24,25,40,43,48,50,11
1/8/24,7,17,28,40,45,2
1/6/24,4,31,34,38,61,13
1/3/24,30,31,38,48,68,8
1/1/24,12,21,42,44,49,1
12/30/23,10,11,26,27,34,7
12/27/23,4,11,38,51,68,5
12/25/23,5,12,20,24,29,4
12/23/23,9,14,17,18,53,6
12/20/23,27,35,41,56,60,16
12/18/23,5,8,19,34,39,26
12/16/23,3,9,10,20,62,25
12/13/23,3,8,41,56,64,18
12/11/23,1,24,27,31,62,20
12/9/23,5,25,26,40,60,1
12/6/23,2,12,37,56,65,21
12/4/23,18,19,27,28,45,9
12/2/23,28,35,41,47,60,3
11/29/23,6,47,50,61,68,4
11/27/23,2,21,38,61,66,12
11/25/23,27,33,63,66,68,9
11/22/23,20,24,33,39,42,21
11/20/23,19,26,30,39,63,13
11/18/23,34,50,51,61,67,20
11/15/23,3,4,51,53,60,6
11/13/23,24,33,35,37,42,21
11/11/23,1,12,14,24,57,7
11/8/23,14,21,33,39,62,20
11/6/23,12,25,40,59,61,26
11/4/23,1,28,30,34,52,6
11/1/23,22,26,39,47,63,12
10/30/23,19,22,34,66,69,5
10/28/23,14,24,50,59,64,2
10/25/23,25,27,41,53,68,2
10/23/23,18,21,25,46,64,21
10/21/23,6,15,24,67,68,11
10/18/23,1,4,13,35,58,24
10/16/23,2,27,31,44,64,18
10/14/23,14,16,42,48,64,14
10/11/23,22,24,40,52,64,10
10/9/23,16,34,46,55,67,14
10/7/23,47,54,57,60,65,19
10/4/23,9,35,54,63,64,1
10/2/23,12,26,27,43,47,5
9/30/23,19,30,37,44,46,22
9/27/23,1,7,46,47,63,7
9/25/23,10,12,22,36,50,4
9/23/23,1,12,20,33,66,21
9/20/23,16,27,59,62,63,23
9/18/23,2,21,26,40,42,9
9/16/23,8,11,19,24,46,5
9/13/23,22,30,37,44,45,18
9/11/23,9,25,27,53,66,5
9/9/23,11,19,29,63,68,25
9/6/23,9,14,20,23,63,1
9/4/23,1,26,32,46,51,13
9/2/23,25,38,42,66,67,19
8/30/23,4,13,35,61,69,4
8/28/23,4,6,25,55,68,26
8/26/23,20,22,26,28,63,5
8/23/23,25,30,32,33,55,20
8/21/23,3,4,12,22,28,16
8/19/23,1,25,27,38,62,13
8/16/23,9,11,17,19,55,1
8/14/23,32,34,37,39,47,3
8/12/23,19,21,37,50,65,26
8/9/23,10,15,21,67,69,3
8/7/23,6,13,20,35,54,22
8/5/23,18,42,44,62,65,23
8/2/23,23,24,33,51,64,5
7/31/23,2,11,48,58,65,13
7/29/23,10,25,27,34,38,2
7/26/23,3,16,40,48,60,14
7/24/23,3,4,12,28,49,25
7/22/23,25,27,36,37,63,7
7/19/23,7,10,11,13,24,24
7/17/23,5,8,9,17,41,21
7/15/23,2,9,43,55,57,18
7/12/23,23,35,45,66,67,20
7/10/23,2,24,34,53,58,13
7/8/23,7,23,24,32,43,18
7/5/23,17,24,48,62,68,23
7/3/23,15,26,31,38,61,3
7/1/23,4,17,35,49,61,8
6/28/23,19,25,34,57,68,4
6/26/23,6,28,39,43,54,12
6/24/23,2,38,44,50,62,19
6/21/23,5,11,33,35,63,14
6/19/23,36,39,52,57,69,1
6/17/23,2,12,45,61,64,26
6/14/23,3,20,36,42,64,4
6/12/23,2,3,16,23,68,7
6/10/23,21,32,42,46,50,4
6/7/23,16,21,29,53,66,2
6/5/23,2,31,45,46,49,20
6/3/23,15,45,64,67,68,18
5/31/23,2,4,54,61,62,14
5/29/23,21,33,35,62,64,24
5/27/23,24,38,39,48,56,4
5/24/23,12,21,44,50,58,26
5/22/23,9,38,48,52,68,25
5/20/23,17,23,32,38,63,23
5/17/23,18,34,37,45,51,14
5/15/23,1,26,28,55,58,25
5/13/23,3,15,20,23,46,11
5/10/23,21,24,33,55,69,3
5/8/23,15,20,33,36,43,12
5/6/23,31,39,47,51,53,6
5/3/23,21,26,30,45,47,23
5/1/23,3,38,55,61,66,1
4/29/23,16,53,54,57,65,8
4/26/23,2,15,30,35,49,6
4/24/23,19,21,55,66,68,3
4/22/23,17,36,47,63,68,25
4/19/23,4,11,21,38,64,11
4/17/23,23,25,35,63,64,25
4/15/23,1,33,34,56,59,18
4/12/23,9,36,41,44,59,4
4/10/23,9,10,36,46,52,14
4/8/23,11,22,24,51,60,18
4/5/23,3,5,9,42,52,11
4/3/23,16,30,31,54,68,1
4/1/23,11,19,21,29,52,17
3/29/23,4,9,24,46,66,7
3/27/23,19,26,36,43,58,14
3/25/23,15,17,18,47,57,19
3/22/23,27,28,37,50,57,5
3/20/23,1,27,32,47,67,14
3/18/23,14,20,30,54,69,11
3/15/23,16,18,33,37,50,8
3/13/23,3,10,24,46,63,4
3/11/23,11,20,33,43,58,24
3/8/23,26,27,43,61,69,4
3/6/23,2,13,29,58,69,4
3/4/23,10,16,18,40,66,16
3/1/23,2,9,28,36,53,4
2/27/23,16,28,49,51,55,23
2/25/23,11,24,58,66,67,26
2/22/23,11,19,39,44,65,7
2/20/23,3,17,26,38,54,15
2/18/23,8,21,31,32,37,23
2/15/23,31,32,54,60,63,12
2/13/23,17,26,37,61,65,2
2/11/23,10,23,30,54,65,11
2/8/23,52,58,59,64,66,9
2/6/23,5,11,22,23,69,7
2/4/23,2,8,15,19,58,10
2/1/23,31,43,58,59,66,9
1/30/23,1,4,12,36,49,5
1/28/23,2,18,23,27,47,15
1/25/23,9,17,20,38,40,18
1/23/23,12,31,47,58,60,23
1/21/23,5,14,19,46,64,22
1/18/23,6,15,22,42,47,26
1/16/23,4,14,33,39,61,3
1/14/23,24,26,39,47,57,23
1/11/23,4,8,46,47,48,5
1/9/23,18,43,48,60,69,14
1/7/23,35,36,44,45,67,14
1/4/23,12,32,56,67,68,26
1/2/23,7,9,12,31,62,22
12/31/22,18,37,44,50,64,11
12/28/22,26,32,38,45,56,1
12/26/22,17,41,47,60,61,17
12/24/22,17,37,46,54,67,8
12/21/22,12,15,24,34,59,14
12/19/22,7,37,55,65,67,12
12/17/22,33,56,64,66,68,12
12/14/22,36,51,59,66,68,25
12/12/22,16,31,50,55,61,9
12/10/22,9,23,47,49,68,19
12/7/22,6,28,44,59,61,21
12/5/22,35,45,47,54,55,14
12/3/22,6,13,33,36,37,7
11/30/22,4,19,24,47,66,10
11/28/22,29,30,32,48,50,20
11/26/22,15,30,47,50,51,3
11/23/22,1,2,31,39,66,25
11/21/22,1,6,40,51,67,2
11/19/22,7,28,62,63,64,10
11/16/22,28,34,51,53,56,11
11/14/22,19,35,53,54,67,21
11/12/22,16,20,44,57,58,6
11/9/22,7,14,24,30,56,7
11/7/22,10,33,41,47,56,10
11/5/22,28,45,53,56,69,20
11/2/22,2,11,22,35,60,23
10/31/22,13,19,36,39,59,13
10/29/22,19,31,40,46,57,23
10/26/22,19,36,37,46,56,24
10/24/22,18,23,35,45,54,16
10/22/22,19,25,48,55,60,18
10/19/22,6,8,15,27,42,10
10/17/22,19,30,36,46,60,25
10/15/22,32,37,40,58,62,15
10/12/22,14,30,41,42,59,6
10/10/22,3,6,11,17,22,11
10/8/22,13,43,53,60,68,5
10/5/22,26,30,33,37,62,6
10/3/22,2,16,22,55,63,22
10/1/22,8,21,22,65,69,26
9/28/22,6,10,24,33,67,11
9/26/22,13,20,31,33,59,20
9/24/22,3,9,21,24,29,14
9/21/22,6,33,34,45,54,7
9/19/22,7,15,36,46,67,7
9/17/22,5,25,36,51,61,1
9/14/22,9,10,20,22,52,25
9/12/22,6,14,16,34,66,25
9/10/22,38,42,56,68,69,4
9/7/22,3,16,30,33,36,20
9/5/22,4,7,32,55,64,25
9/3/22,18,27,49,65,69,9
8/31/22,7,8,19,24,28,1
8/29/22,13,36,43,61,69,18
8/27/22,2,18,56,60,65,14
8/24/22,6,24,35,37,44,22
8/22/22,12,27,34,55,67,9
8/20/22,5,9,11,16,66,7
8/17/22,23,28,41,50,55,24
8/15/22,20,24,47,50,63,5
8/13/22,19,24,35,43,62,2
8/10/22,29,44,59,61,68,19
8/8/22,32,45,51,57,58,12
8/6/22,8,15,46,56,68,3
8/3/22,9,21,56,57,66,11
8/1/22,15,21,31,36,65,16
7/30/22,4,17,57,58,68,12
7/27/22,1,25,44,55,57,26
7/25/22,25,37,38,39,65,5
7/23/22,39,41,54,59,62,12
7/20/22,10,20,23,49,65,22
7/18/22,14,34,36,50,58,5
7/16/22,3,18,23,32,57,21
7/13/22,22,23,36,47,63,2
7/11/22,4,26,34,37,52,9
7/9/22,14,22,42,46,52,24
7/6/22,32,36,49,62,69,13
7/4/22,15,16,24,31,56,4
7/2/22,9,10,37,59,62,26
6/29/22,8,40,49,58,63,14
6/27/22,11,13,18,30,37,16
6/25/22,6,12,20,27,32,4
6/22/22,6,10,31,48,56,12
6/20/22,3,44,61,63,69,13
6/18/22,10,19,40,45,58,25
6/15/22,19,28,41,42,51,7
6/13/22,2,27,42,44,51,25
6/11/22,18,20,26,53,69,5
6/8/22,22,39,43,62,64,7
6/6/22,2,10,35,44,46,4
6/4/22,14,16,36,52,60,16
6/1/22,11,41,56,57,63,2
5/30/22,27,28,51,68,69,22
5/28/22,2,39,50,61,66,15
5/25/22,19,28,39,42,57,17
5/23/22,1,33,37,39,42,26
5/21/22,14,15,25,52,58,11
5/18/22,40,41,58,64,65,17
5/16/22,7,15,22,36,64,13
5/14/22,6,40,41,45,52,9
5/11/22,5,7,61,63,69,18
5/9/22,18,30,35,52,56,5
5/7/22,4,5,6,28,67,10
5/4/22,37,39,55,63,69,23
5/2/22,18,27,33,39,44,8
4/30/22,14,21,37,44,63,1
4/27/22,11,36,61,62,68,4
4/25/22,12,18,20,39,61,10
4/23/22,10,39,47,49,56,8
4/20/22,20,30,45,55,56,14
4/18/22,8,33,55,59,62,18
4/16/22,15,21,32,62,65,26
4/13/22,14,16,41,63,68,26
4/11/22,5,7,24,31,34,4
4/9/22,6,16,31,62,66,18
4/6/22,6,42,45,47,64,18
4/4/22,2,32,39,46,69,6
4/2/22,6,28,47,58,59,18
3/30/22,3,7,21,31,37,11
3/28/22,11,18,39,58,62,3
3/26/22,2,10,50,59,61,6
3/23/22,31,32,37,38,48,24
3/21/22,1,15,26,63,65,16
3/19/22,8,9,18,48,52,6
3/16/22,3,28,34,35,58,17
3/14/22,21,28,32,44,49,6
3/12/22,19,20,37,39,61,8
3/9/22,13,22,34,51,67,10
3/7/22,10,43,55,59,67,2
3/5/22,8,23,37,52,63,13
3/2/22,19,37,48,61,63,12
2/28/22,7,21,39,47,55,19
2/26/22,15,32,36,48,64,19
2/23/22,6,17,21,35,64,18
2/21/22,2,36,37,45,69,3
2/19/22,3,10,15,33,42,11
2/16/22,22,30,40,42,48,16
2/14/22,16,25,27,49,55,17
2/12/22,8,10,21,41,62,7
2/9/22,2,17,33,51,63,26
2/7/22,5,15,38,47,65,10
2/5/22,5,16,27,39,61,24
2/2/22,18,29,33,62,63,15
1/31/22,10,15,51,61,69,14
1/29/22,2,15,38,54,65,11
1/26/22,4,11,38,49,69,16
1/24/22,11,29,30,47,53,16
1/22/22,8,14,33,36,67,17
1/19/22,11,15,43,55,61,10
1/17/22,9,24,35,46,65,22
1/15/22,3,18,37,51,59,13
1/12/22,12,21,22,30,33,24
1/10/22,14,17,18,21,27,9
1/8/22,20,21,36,60,65,13
1/5/22,6,14,25,33,46,17
1/3/22,2,13,32,33,48,22
1/1/22,6,12,39,48,50,7
12/29/21,2,6,9,33,39,11
12/27/21,36,38,45,62,64,19
12/25/21,27,29,45,55,58,2
12/22/21,7,16,19,48,68,15
12/20/21,2,13,23,34,66,2
12/18/21,2,6,24,51,61,1
12/15/21,19,20,40,42,59,15
12/13/21,10,30,37,53,59,4
12/11/21,3,25,44,53,64,10
12/8/21,3,7,33,50,69,24
12/6/21,3,21,38,50,59,6
12/4/21,10,40,45,56,67,2
12/1/21,12,15,38,57,63,24
11/29/21,18,26,28,38,47,17
11/27/21,8,32,55,64,66,10
11/24/21,10,16,32,63,65,17
11/22/21,7,20,29,38,67,22
11/20/21,40,43,48,59,69,19
11/17/21,3,16,48,52,60,1
11/15/21,5,31,34,51,53,23
11/13/21,8,15,26,35,45,9
11/10/21,19,25,43,46,48,14
11/8/21,21,46,47,57,62,8
11/6/21,8,30,48,57,64,9
11/3/21,1,2,24,50,57,26
11/1/21,9,25,34,44,45,8
10/30/21,5,23,28,43,56,19
10/27/21,3,6,26,35,51,17
10/25/21,10,27,29,44,58,24
10/23/21,10,30,51,57,63,20
10/20/21,7,29,36,41,43,5
10/18/21,30,32,48,53,63,12
10/16/21,30,31,41,42,48,3
10/13/21,23,29,47,59,60,15
10/11/21,11,20,33,39,65,24
10/9/21,12,17,30,45,62,5
10/6/21,1,17,52,58,64,1
10/4/21,12,22,54,66,69,15
10/2/21,28,38,42,47,52,1
9/29/21,2,7,11,17,32,11
9/27/21,21,22,39,44,60,12
9/25/21,22,23,37,62,63,19
9/22/21,20,40,47,55,63,5
9/20/21,37,51,54,58,60,19
9/18/21,5,36,39,45,57,11
9/15/21,1,4,18,46,62,25
9/13/21,37,40,50,61,63,21
9/11/21,20,31,38,40,49,21
9/8/21,9,22,41,47,61,21
9/6/21,11,20,22,33,54,24
9/4/21,32,35,40,52,54,1
9/1/21,10,20,29,48,51,17
8/30/21,3,15,45,51,61,8
8/28/21,12,22,26,46,59,26
8/25/21,27,39,54,56,59,24
8/23/21,17,36,47,60,61,15
8/21/21,16,28,36,39,59,4
8/18/21,35,36,51,55,61,26
8/14/21,6,21,49,65,67,18
8/11/21,12,18,20,29,30,16
8/7/21,7,24,36,54,60,23
8/4/21,5,21,32,36,58,14
7/31/21,1,21,22,34,47,4
7/28/21,25,30,53,59,60,5
7/24/21,1,4,11,59,67,10
7/21/21,27,28,44,67,68,11
7/17/21,15,22,38,54,66,3
7/14/21,33,46,52,59,62,10
7/10/21,1,5,29,54,62,3
7/7/21,8,21,30,49,57,8
7/3/21,26,40,41,55,65,24
6/30/21,24,29,50,65,66,14
6/26/21,8,31,39,43,60,17
6/23/21,13,20,40,51,63,1
6/19/21,4,22,35,38,39,20
6/16/21,19,29,34,44,50,25
6/12/21,8,25,34,38,41,10
6/9/21,19,28,46,50,54,9
6/5/21,44,52,54,64,69,26
6/2/21,6,7,11,66,67,19
5/29/21,11,13,22,27,46,20
5/26/21,2,8,21,34,62,16
5/22/21,3,19,27,37,40,8
5/19/21,11,13,55,56,69,4
5/15/21,4,10,37,39,69,24
5/12/21,1,19,20,38,54,17
5/8/21,12,17,20,21,26,8
5/5/21,16,23,28,40,63,1
5/1/21,35,36,47,61,63,3
4/28/21,16,18,35,39,53,21
4/24/21,22,36,48,59,61,22
4/21/21,21,25,32,63,67,6
4/17/21,10,21,26,41,49,25
4/14/21,13,30,33,45,61,14
4/10/21,14,16,23,50,53,3
4/7/21,27,35,39,51,66,16
4/3/21,1,12,17,39,53,5
3/31/21,3,10,44,55,68,24
3/27/21,6,14,38,39,65,6
3/24/21,4,9,17,27,38,18
3/20/21,1,6,22,42,61,4
3/17/21,34,38,42,61,62,19
3/13/21,5,11,51,56,61,2
3/10/21,17,18,37,44,53,18
3/6/21,11,31,50,52,58,18
3/3/21,21,40,44,50,55,16
2/27/21,2,28,31,44,52,18
2/24/21,4,33,43,53,65,21
2/20/21,4,8,22,32,58,4
2/17/21,1,15,21,32,46,1
2/13/21,20,28,33,63,68,20
2/10/21,15,39,58,63,67,7
2/6/21,1,16,48,49,65,8
2/3/21,5,37,40,64,66,5
1/30/21,1,2,7,52,61,4
1/27/21,17,33,35,42,52,9
1/23/21,5,8,17,27,28,14
1/20/21,40,53,60,68,69,22
1/16/21,14,20,39,65,67,2
1/13/21,4,19,23,25,49,14
1/9/21,14,26,38,45,46,13
1/6/21,1,20,22,60,66,3
1/2/21,3,4,11,41,67,5
12/30/20,3,43,45,61,65,14
12/26/20,10,24,27,35,53,18
12/23/20,6,13,38,39,53,6
12/19/20,27,32,34,43,52,13
12/16/20,4,23,37,61,67,7
12/12/20,17,54,56,63,69,20
12/9/20,11,14,31,47,48,4
12/5/20,3,4,6,48,53,10
12/2/20,28,31,40,41,46,4
11/28/20,8,12,18,44,51,18
11/25/20,2,57,58,60,65,26
11/21/20,51,54,57,60,69,11
11/18/20,4,5,17,43,52,5
11/14/20,7,15,18,32,45,20
11/11/20,13,15,17,45,63,13
11/7/20,14,16,37,48,58,18
11/4/20,23,32,33,45,49,14
10/31/20,2,6,40,42,55,24
10/28/20,11,28,37,40,53,13
10/24/20,18,20,27,45,65,6
10/21/20,1,3,13,44,56,26
10/17/20,6,10,31,37,44,23
10/14/20,21,37,52,53,58,5
10/10/20,5,18,23,40,50,18
10/7/20,6,24,30,53,56,19
10/3/20,18,31,36,43,47,20
9/30/20,14,18,36,49,67,18
9/26/20,11,21,27,36,62,24
9/23/20,8,17,49,52,59,1
9/19/20,11,14,23,47,57,14
